Region,Census_Year,Persons,Males,Females
Andaman & Nicobar Islands,2012,588257,310840,275001
Andaman & Nicobar Islands,2013,621102,327453,290695
Andaman & Nicobar Islands,2014,656072,345114,307392
Andaman & Nicobar Islands,2015,693319,363897,325162
Andaman & Nicobar Islands,2016,733006,383881,344080
Andaman & Nicobar Islands,2017,775310,405152,364226
Andaman & Nicobar Islands,2018,820420,427800,385688
Andaman & Nicobar Islands,2019,868540,451925,408557
Andaman & Nicobar Islands,2020,919892,477633,432934
Andaman & Nicobar Islands,2021,974713,505039,458926
Andaman & Nicobar Islands,2022,1033260,534266,486649
Andaman & Nicobar Islands,2023,1095811,565448,516228
Andaman & Nicobar Islands,2024,1162665,598729,547797
Andaman & Nicobar Islands,2025,1234146,634264,581501
