State_Code,District_Code,Region,Census_Year,Persons,Variation_Absolute,Variation_Percentage,Males,Females
34,,Puducherry,2001,974345,+166560,+20.62,486961,487384
34,,Puducherry,2011,1247953,+273608,+28.08,612511,635442
35,000,Andaman & Nicobar Islands,1901,24649,,,18695,5954
35,,Andaman & Nicobar Islands,1911,26459,+1810,+7.34,19570,6889
35,,Andaman & Nicobar Islands,1921,27086,+627,+2.37,20793,6293
35,,Andaman & Nicobar Islands,1931,29463,+2377,+8.78,19702,9761
35,,Andaman & Nicobar Islands,1941,33768,+4305,+14.61,21458,12310
35,,Andaman & Nicobar Islands,1951,30971,-2797,-8.28,19055,11916
35,,Andaman & Nicobar Islands,1961,63548,+32577,+105.19,39304,24244
35,,Andaman & Nicobar Islands,1971,115133,+51585,+81.17,70027,45106
35,,Andaman & Nicobar Islands,1981,188741,+73608,+63.93,107261,81480
35,,Andaman & Nicobar Islands,1991,280661,+91920,+48.70,154369,126292
35,,Andaman & Nicobar Islands,2001,356152,+75491,+26.90,192972,163180
35,,Andaman & Nicobar Islands,2011,380581,+24429,+6.86,202871,177710
